Episode,Gamma,Alpha,Epsilon,Average time,Average reward
100,0.7,0.1,0.7,370105.304928126,-2.07
500,0.7,0.1,0.7,367174.304681957,-0.7593999999999999
1000,0.7,0.1,0.7,366808.78391780396,-0.10482000000000005
2000,0.7,0.1,0.7,366626.8315625124,0.22765999999999992
5000,0.7,0.1,0.7,366519.18548386963,0.4265279999999999
8000,0.7,0.1,0.7,366495.5295558457,0.47465999999999986
9000,0.7,0.1,0.7,366495.31247925013,0.48537555555555545
10000,0.7,0.1,0.7,366496.62189866306,0.49207599999999985
100,0.7,0.1,0.75,370127.3171060099,-2.1784
500,0.7,0.1,0.75,367196.1080962094,-0.52696
1000,0.7,0.1,0.75,366830.4473589294,0.012119999999999891
2000,0.7,0.1,0.75,366648.3851091507,0.2938599999999999
5000,0.7,0.1,0.75,366540.601130589,0.4618919999999998
8000,0.7,0.1,0.75,366516.76123346505,0.5035849999999998
9000,0.7,0.1,0.75,366516.30390963884,0.5110933333333332
10000,0.7,0.1,0.75,366517.37338350044,0.5166199999999999
100,0.7,0.1,0.8,370148.1848568579,-2.2976000000000005
500,0.7,0.1,0.8,367216.8039884463,-0.6372400000000004
1000,0.7,0.1,0.8,366851.13805115415,-0.03296000000000027
2000,0.7,0.1,0.8,366669.0622704681,0.2669799999999998
5000,0.7,0.1,0.8,366561.2873594096,0.4459479999999998
8000,0.7,0.1,0.8,366537.493239052,0.4926249999999998
9000,0.7,0.1,0.8,366537.09888414416,0.501002222222222
10000,0.7,0.1,0.8,366538.2330478406,0.5077039999999999
100,0.7,0.1,0.85,370169.27153706,-2.2073999999999994
500,0.7,0.1,0.85,367237.7398773442,-0.7461200000000003
1000,0.7,0.1,0.85,366872.1051328746,-0.08742000000000025
2000,0.7,0.1,0.85,366690.06288524845,0.24275999999999978
5000,0.7,0.1,0.85,366582.30990560696,0.43889999999999985
8000,0.7,0.1,0.85,366558.53403555887,0.4883299999999998
9000,0.7,0.1,0.85,366558.16124352714,0.49698666666666647
10000,0.7,0.1,0.85,366559.30192727206,0.5037279999999998
100,0.7,0.1,0.9,370190.5368207014,-2.2587999999999995
500,0.7,0.1,0.9,367258.817999619,-0.7091200000000001
1000,0.7,0.1,0.9,366893.1502958977,-0.0762600000000001
2000,0.7,0.1,0.9,366711.09494178987,0.2496699999999999
5000,0.7,0.1,0.9,366603.3169167624,0.44719999999999993
8000,0.7,0.1,0.9,366579.47949000983,0.4959974999999998
9000,0.7,0.1,0.9,366579.0321283339,0.5054466666666665
10000,0.7,0.1,0.9,366580.0963496116,0.5136559999999998
100,0.7,0.1,0.95,370211.47022036853,-2.2258
500,0.7,0.1,0.95,367279.56791098346,-0.6750400000000001
1000,0.7,0.1,0.95,366913.8325693341,-0.05440000000000015
2000,0.7,0.1,0.95,366731.7206106111,0.25970999999999983
5000,0.7,0.1,0.95,366623.9085992316,0.4468079999999998
8000,0.7,0.1,0.95,366600.0755354785,0.4916999999999998
9000,0.7,0.1,0.95,366599.65453275223,0.5006977777777777
10000,0.7,0.1,0.95,366600.77311886696,0.5081179999999998
100,0.7,0.1,1.0,370232.4365042409,-2.2925999999999993
500,0.7,0.1,1.0,367300.39500699914,-0.6250000000000002
1000,0.7,0.1,1.0,366934.63881886523,-0.032320000000000224
2000,0.7,0.1,1.0,366752.52162243193,0.27163999999999977
5000,0.7,0.1,1.0,366644.7064475448,0.45248399999999983
8000,0.7,0.1,1.0,366620.86431942304,0.49879499999999977
9000,0.7,0.1,1.0,366620.4126057171,0.5071022222222221
10000,0.7,0.1,1.0,366621.4801353293,0.5141859999999999
100,0.7,0.15,0.7,370253.302724813,-1.9866000000000008
500,0.7,0.15,0.7,367321.04344290076,-0.46956000000000053
1000,0.7,0.15,0.7,366955.21909557574,-0.012080000000000382
2000,0.7,0.15,0.7,366773.1464530692,0.24661999999999978
5000,0.7,0.15,0.7,366665.4931089784,0.4204959999999998
8000,0.7,0.15,0.7,366641.9302825355,0.4619499999999998
9000,0.7,0.15,0.7,366641.85574823915,0.46921999999999986
10000,0.7,0.15,0.7,366643.3587047249,0.4720859999999998
100,0.7,0.15,0.75,370275.6897497741,-2.091
500,0.7,0.15,0.75,367343.242512557,-0.31928000000000034
1000,0.7,0.15,0.75,366977.30376115773,0.11311999999999972
2000,0.7,0.15,0.75,366795.0558350583,0.3419599999999998
5000,0.7,0.15,0.75,366687.13215305685,0.47893999999999975
8000,0.7,0.15,0.75,366663.20793901646,0.5083574999999998
9000,0.7,0.15,0.75,366662.733246136,0.5144311111111111
10000,0.7,0.15,0.75,366663.7969815877,0.5206919999999998
100,0.7,0.15,0.8,370296.0866515333,-1.9442000000000002
500,0.7,0.15,0.8,367363.44469775696,-0.3490400000000003
1000,0.7,0.15,0.8,366997.48180885817,0.1101599999999998
2000,0.7,0.15,0.8,366815.19722341286,0.34157999999999983
5000,0.7,0.15,0.8,366707.24366704683,0.4751959999999999
8000,0.7,0.15,0.8,366683.3203626305,0.5049649999999998
9000,0.7,0.15,0.8,366682.8493001091,0.5108666666666665
10000,0.7,0.15,0.8,366683.9151057087,0.5159739999999998
100,0.7,0.15,0.85,370316.42424762173,-2.0582000000000003
500,0.7,0.15,0.85,367383.63470844104,-0.3709600000000003
1000,0.7,0.15,0.85,367017.67196546996,0.09321999999999983
2000,0.7,0.15,0.85,366835.40712180047,0.32898999999999984
5000,0.7,0.15,0.85,366727.49041182606,0.4685679999999999
8000,0.7,0.15,0.85,366703.850032314,0.5004024999999999
9000,0.7,0.15,0.85,366703.4293192382,0.5067266666666664
10000,0.7,0.15,0.85,366704.54496482416,0.5121539999999998
100,0.7,0.15,0.9,370337.2827454401,-1.9746000000000001
500,0.7,0.15,0.9,367404.3267909368,-0.4071200000000003
1000,0.7,0.15,0.9,367038.35663622565,0.07133999999999978
2000,0.7,0.15,0.9,366856.0952742313,0.3156499999999998
5000,0.7,0.15,0.9,366748.19410353916,0.46506399999999987
8000,0.7,0.15,0.9,366724.32262468187,0.4979374999999998
