Episode,Gamma,Episode Length,Average time,Average reward
1000,0.55,10,699151.4779150959,-0.046279999999999974
5000,0.55,10,698593.3783534371,-0.04403599999999998
10000,0.55,10,698525.1710339033,-0.028281999999999977
15000,0.55,10,698504.5720333601,-0.027266666666666644
20000,0.55,10,698496.6614617395,-0.024722999999999978
25000,0.55,10,698494.4652805296,-0.022418399999999977
30000,0.55,10,698495.6844037838,-0.02039999999999998
35000,0.55,10,698499.2828075127,-0.01995085714285712
40000,0.55,10,698504.8023895635,-0.01937299999999998
45000,0.55,10,698512.2264463293,-0.01850844444444442
50000,0.55,10,698521.1173334107,-0.018769599999999977
1000,0.55,20,699211.330594384,-0.08048000000000004
5000,0.55,20,698653.5731793705,-0.04191200000000003
10000,0.55,20,698586.3574723296,-0.018680000000000037
15000,0.55,20,698567.3597201959,-0.01217333333333337
20000,0.55,20,698561.6063288741,-0.008000000000000035
25000,0.55,20,698562.185372007,-0.004391200000000034
30000,0.55,20,698566.8191706766,-0.0012973333333333684
35000,0.55,20,698574.4613217572,0.0033468571428571076
40000,0.55,20,698584.4417547241,0.007648999999999967
45000,0.55,20,698596.5412995776,0.010531555555555521
50000,0.55,20,698610.5435398688,0.012207999999999965
1000,0.55,30,699303.5670283505,-0.10528000000000007
5000,0.55,30,698746.0730070479,-0.08884000000000009
10000,0.55,30,698679.6133968896,-0.07191600000000008
15000,0.55,30,698661.9076435867,-0.05677200000000007
20000,0.55,30,698657.8695100547,-0.05090600000000007
25000,0.55,30,698660.5751528277,-0.04751840000000007
30000,0.55,30,698667.851942984,-0.042018000000000076
35000,0.55,30,698678.617516401,-0.0358365714285715
40000,0.55,30,698692.4613272966,-0.031934500000000074
45000,0.55,30,698709.0438041814,-0.026787555555555627
50000,0.55,30,698728.2200410335,-0.02357160000000007
1000,0.55,40,699423.9445953749,-0.3385000000000002
5000,0.55,40,698866.8803940054,-0.29803600000000013
10000,0.55,40,698801.8078429438,-0.2824860000000002
15000,0.55,40,698786.3854040706,-0.26019066666666685
20000,0.55,40,698785.3864900548,-0.24610300000000015
25000,0.55,40,698791.9650781255,-0.21446000000000018
30000,0.55,40,698803.546921213,-0.1854133333333335
35000,0.55,40,698819.2171352723,-0.16425371428571447
40000,0.55,40,698838.2483727328,-0.14734250000000018
45000,0.55,40,698860.4112192959,-0.13151288888888904
50000,0.55,40,698885.41446774,-0.11801360000000015
1000,0.55,50,699583.8241588046,-0.3626600000000002
5000,0.55,50,699026.8608153764,-0.2961240000000002
10000,0.55,50,698961.9405476169,-0.19761600000000018
15000,0.55,50,698946.4022607582,-0.15311066666666684
20000,0.55,50,698945.3470803523,-0.10871200000000014
25000,0.55,50,698951.6969167286,-0.08387680000000015
30000,0.55,50,698963.2497253235,-0.07015266666666681
35000,0.55,50,698979.0645104636,-0.058081714285714424
40000,0.55,50,698998.2122383298,-0.046433000000000134
45000,0.55,50,699020.4261882374,-0.034938666666666805
50000,0.55,50,699045.5699803822,-0.021545600000000137
1000,0.55,60,699744.2947104569,-0.4208600000000003
5000,0.55,60,699187.6365967849,-0.39851600000000026
10000,0.55,60,699123.9630775601,-0.31953800000000027
15000,0.55,60,699110.3886067746,-0.2834293333333336
20000,0.55,60,699111.9746293061,-0.2593010000000002
25000,0.55,60,699121.7931106826,-0.23837200000000022
30000,0.55,60,699137.2206336567,-0.21384466666666688
35000,0.55,60,699156.985434253,-0.19483485714285734
40000,0.55,60,699180.7888934785,-0.1810850000000002
45000,0.55,60,699208.5081475399,-0.17100266666666686
50000,0.55,60,699239.6520095299,-0.1632324000000002
1000,0.55,70,699941.5378635235,-0.5511200000000004
5000,0.55,70,699385.0501992732,-0.4428600000000004
10000,0.55,70,699322.0040613448,-0.20188200000000026
15000,0.55,70,699308.1558476089,-0.11345733333333356
20000,0.55,70,699308.7668519418,-0.06808800000000022
25000,0.55,70,699316.6800953342,-0.0370928000000002
30000,0.55,70,699329.5667721367,-0.01958666666666686
35000,0.55,70,699346.6696890745,-0.0022817142857144753
40000,0.55,70,699367.6046163832,0.006857499999999814
45000,0.55,70,699391.5700221965,0.015697777777777592
50000,0.55,70,699418.9811489608,0.023577599999999824
1000,0.55,80,700119.3792317908,-0.45228000000000035
5000,0.55,80,699562.7354533171,-0.3268960000000003
10000,0.55,80,699499.2725673585,-0.1928700000000003
15000,0.55,80,699485.634650143,-0.1554573333333336
20000,0.55,80,699487.1916372004,-0.11076900000000026
25000,0.55,80,699496.6331043051,-0.07689600000000024
30000,0.55,80,699511.3736650691,-0.050787333333333566
35000,0.55,80,699530.365360425,-0.02225428571428593
40000,0.55,80,699552.8131705663,-0.003265000000000208
45000,0.55,80,699578.317253357,0.009947999999999797
50000,0.55,80,699607.1522841911,0.021929999999999804
1000,0.55,90,700307.8182194186,-0.6608600000000004
5000,0.55,90,699751.5520168003,-0.45288800000000046
10000,0.55,90,699689.2127248555,-0.32574400000000037
15000,0.55,90,699677.6057671445,-0.2660320000000003
20000,0.55,90,699681.6758023086,-0.23989800000000033
25000,0.55,90,699694.6480166797,-0.22288240000000034
30000,0.55,90,699713.9246914558,-0.2070660000000003
35000,0.55,90,699738.6006228228,-0.19587085714285746
40000,0.55,90,699768.1159262225,-0.1869385000000003
45000,0.55,90,699801.748569596,-0.17964444444444475
50000,0.55,90,699839.8603618762,-0.1721692000000003
1000,0.55,100,700546.2652750089,-1.089460000000001
5000,0.55,100,699990.8621971826,-0.7869120000000005
10000,0.55,100,699930.8830597012,-0.6137480000000006
15000,0.55,100,699922.5429787039,-0.48824533333333386
20000,0.55,100,699930.2343900047,-0.42178500000000047
25000,0.55,100,699947.0912124397,-0.37984000000000046
30000,0.55,100,699970.9280415279,-0.3487580000000004
35000,0.55,100,700000.4065556949,-0.32369257142857183
40000,0.55,100,700035.2572150951,-0.3064430000000004
45000,0.55,100,700074.9904968169,-0.2897084444444448
50000,0.55,100,700119.2370345967,-0.2747772000000004
1000,0.6,10,700827.5072257903,-0.04527999999999997
5000,0.6,10,700268.0574702388,-0.040283999999999986
10000,0.6,10,700199.6501667626,-0.028853999999999973
15000,0.6,10,700178.9845043974,-0.022674666666666645
20000,0.6,10,700171.0498889809,-0.021123999999999976
25000,0.6,10,700168.895254277,-0.018111199999999973
30000,0.6,10,700170.0996303392,-0.016379999999999978
35000,0.6,10,700173.7002615287,-0.016780571428571405
40000,0.6,10,700179.1780857885,-0.015733499999999977
45000,0.6,10,700186.3634199342,-0.014464444444444419
50000,0.6,10,700194.9532563016,-0.014325599999999975
1000,0.6,20,700886.6579123224,-0.12454000000000005
5000,0.6,20,700327.5816040189,-0.04672000000000004
10000,0.6,20,700260.1370811897,-0.022038000000000033
15000,0.6,20,700241.0122751174,-0.01533733333333337
20000,0.6,20,700235.2914669268,-0.016220000000000033
25000,0.6,20,700235.9229217314,-0.013363200000000033
30000,0.6,20,700240.5132547722,-0.0118246666666667
35000,0.6,20,700248.2417441821,-0.008534285714285748
40000,0.6,20,700258.3732649743,-0.005671000000000034
45000,0.6,20,700270.6370960635,-0.004502222222222256
50000,0.6,20,700285.0364596496,-0.004233600000000034
1000,0.6,30,700979.8811318735,-0.09060000000000008
5000,0.6,30,700421.0363875274,-0.08453600000000008
10000,0.6,30,700354.4533812111,-0.08657000000000008
15000,0.6,30,700336.8071567501,-0.08713333333333341
20000,0.6,30,700333.1195648351,-0.08062000000000007
25000,0.6,30,700336.1277188873,-0.06503840000000008
30000,0.6,30,700343.6914588864,-0.05380200000000007
35000,0.6,30,700354.8141056615,-0.04155600000000008
40000,0.6,30,700368.7431611179,-0.03285300000000008
45000,0.6,30,700385.2428587876,-0.02151733333333341
50000,0.6,30,700404.3524170143,-0.012971600000000074
1000,0.6,40,701101.6593713135,-0.3515200000000002
5000,0.6,40,700543.270629229,-0.26776400000000017
10000,0.6,40,700477.9544675675,-0.23969200000000015
15000,0.6,40,700462.3120500474,-0.21518000000000018
20000,0.6,40,700461.254745485,-0.16847800000000016
25000,0.6,40,700467.5600261448,-0.14084560000000015
