Episode,Gamma,Tolerances,Initial Policy,Average time,Average reward
100,0.55,0.1,0,0.6963644463099999,0.43779999999999986
500,0.55,0.1,0,0.9658759368399987,0.5609599999999998
1000,0.55,0.1,0,1.6485421893279997,0.5639399999999998
5000,0.55,0.1,0,4.340783029713794,0.5708079999999998
10000,0.55,0.1,0,11.08088504613994,0.5717459999999999
100,0.55,0.1,1,15.813826337200004,0.4465999999999998
500,0.55,0.1,1,15.964318996364,0.5609599999999998
1000,0.55,0.1,1,16.629124377098,0.5639399999999998
5000,0.55,0.1,1,19.369664296915953,0.5708079999999998
10000,0.55,0.1,1,26.468641106979817,0.5717459999999999
100,0.55,0.1,2,31.42435535587999,0.4127999999999998
500,0.55,0.1,2,31.457247753337988,0.5609599999999998
1000,0.55,0.1,2,32.12282539861297,0.5639399999999998
5000,0.55,0.1,2,34.85561807775785,0.5708079999999998
10000,0.55,0.1,2,41.67910575826126,0.5717459999999999
100,0.55,0.1,3,46.713622439679995,0.48779999999999984
500,0.55,0.1,3,46.61741640449401,0.5609599999999998
1000,0.55,0.1,3,47.25249995013597,0.5639399999999998
5000,0.55,0.1,3,49.93286158471231,0.5708079999999998
10000,0.55,0.1,3,56.70688699209999,0.5717459999999999
100,0.55,0.1,4,61.873489414659986,0.3947999999999998
500,0.55,0.1,4,61.656685796759994,0.5609599999999998
1000,0.55,0.1,4,62.275255579433,0.5639399999999998
5000,0.55,0.1,4,64.94282025791264,0.5708079999999998
10000,0.55,0.1,4,71.72848653477827,0.5717459999999999
100,0.55,0.05,0,77.06082877802005,0.5775999999999999
500,0.55,0.05,0,76.72717858799001,0.5719999999999998
1000,0.55,0.05,0,77.33433762239598,0.5693799999999999
5000,0.55,0.05,0,79.98676496520913,0.5719119999999999
10000,0.55,0.05,0,86.76936018002364,0.5723459999999999
100,0.55,0.05,1,92.25027174137,0.5775999999999999
500,0.55,0.05,1,91.79369331858999,0.5719999999999998
1000,0.55,0.05,1,92.38259746125806,0.5693799999999999
5000,0.55,0.05,1,95.03345572978915,0.5719119999999999
10000,0.55,0.05,1,101.82934047404221,0.5723459999999999
100,0.55,0.05,2,107.46982032298,0.5775999999999999
500,0.55,0.05,2,106.89308529032205,0.5719999999999998
1000,0.55,0.05,2,107.46961508635887,0.5693799999999999
5000,0.55,0.05,2,110.11160621409402,0.5719119999999999
10000,0.55,0.05,2,116.91704157657044,0.5723459999999999
100,0.55,0.05,3,122.71407168797998,0.5775999999999999
500,0.55,0.05,3,122.01735035240016,0.5719999999999998
1000,0.55,0.05,3,122.5791141582461,0.5693799999999999
5000,0.55,0.05,3,125.21576151208784,0.5719119999999999
