Episode,Gamma,Alpha,Epsilon,Average time,Average reward
100,0.7,0.1,0.7,364554.5915110498,-1.6799999999999997
500,0.7,0.1,0.7,361667.34850826097,-0.0711600000000002
1000,0.7,0.1,0.7,361306.9201647466,0.2519599999999999
2000,0.7,0.1,0.7,361127.29359288915,0.41612999999999994
5000,0.7,0.1,0.7,361020.7656325715,0.5140559999999998
8000,0.7,0.1,0.7,360996.7497251948,0.5379074999999998
9000,0.7,0.1,0.7,360995.6661391448,0.543071111111111
10000,0.7,0.1,0.7,360996.0062731388,0.5464979999999998
100,0.7,0.1,0.75,364571.8160848447,-1.8518000000000006
500,0.7,0.1,0.75,361684.45464562834,-0.17264000000000027
1000,0.7,0.1,0.75,361324.0307622747,0.19855999999999976
2000,0.7,0.1,0.75,361144.41286015685,0.3903099999999998
5000,0.7,0.1,0.75,361037.861888221,0.5042239999999998
8000,0.7,0.1,0.75,361013.8460864833,0.5318074999999999
9000,0.7,0.1,0.75,361012.7735972612,0.5358933333333331
10000,0.7,0.1,0.75,361013.17621026933,0.5396159999999998
100,0.7,0.1,0.8,364589.18596713303,-1.7502000000000006
500,0.7,0.1,0.8,361701.6838141088,-0.20348000000000036
1000,0.7,0.1,0.8,361341.2503316811,0.17735999999999977
2000,0.7,0.1,0.8,361161.641521191,0.3652699999999998
5000,0.7,0.1,0.8,361055.1509980477,0.4848799999999999
8000,0.7,0.1,0.8,361031.2397298023,0.5138174999999999
9000,0.7,0.1,0.8,361030.3027411255,0.5189333333333331
10000,0.7,0.1,0.8,361030.8287014578,0.5233299999999997
100,0.7,0.1,0.85,364607.0781209447,-1.8820000000000001
500,0.7,0.1,0.85,361719.42175662436,-0.1996000000000002
1000,0.7,0.1,0.85,361358.9555208327,0.17867999999999984
2000,0.7,0.1,0.85,361179.3260045075,0.3725899999999998
5000,0.7,0.1,0.85,361072.79772288457,0.4896639999999999
8000,0.7,0.1,0.85,361048.84498764784,0.5174049999999998
9000,0.7,0.1,0.85,361048.13224547385,0.5222577777777777
10000,0.7,0.1,0.85,361049.16019161476,0.5259859999999998
100,0.7,0.1,0.9,364625.915465433,-2.089600000000001
500,0.7,0.1,0.9,361738.13185035076,-0.20908000000000027
1000,0.7,0.1,0.9,361377.6444643034,0.18591999999999978
2000,0.7,0.1,0.9,361197.9918158846,0.37878999999999985
5000,0.7,0.1,0.9,361091.43020956905,0.4990759999999999
8000,0.7,0.1,0.9,361067.4048044156,0.5287324999999998
9000,0.7,0.1,0.9,361066.3194671481,0.5338022222222221
10000,0.7,0.1,0.9,361066.6897163973,0.5378519999999999
100,0.7,0.1,0.95,364643.22219309176,-2.2492000000000005
500,0.7,0.1,0.95,361755.3065275687,-0.2666400000000003
1000,0.7,0.1,0.95,361394.81670939404,0.14805999999999978
2000,0.7,0.1,0.95,361215.17463808885,0.36013999999999974
5000,0.7,0.1,0.95,361108.6216997036,0.4865199999999999
8000,0.7,0.1,0.95,361084.66039666074,0.5151574999999998
9000,0.7,0.1,0.95,361083.6834140723,0.5203955555555555
10000,0.7,0.1,0.95,361084.16153314256,0.5247239999999999
100,0.7,0.1,1.0,364660.9108901689,-2.0865999999999993
500,0.7,0.1,1.0,361772.83589809877,-0.2650800000000001
1000,0.7,0.1,1.0,361412.3254146694,0.14861999999999984
2000,0.7,0.1,1.0,361232.67637484777,0.35840999999999984
5000,0.7,0.1,1.0,361126.1363929991,0.4878439999999999
8000,0.7,0.1,1.0,361102.15156209917,0.5216424999999999
9000,0.7,0.1,1.0,361101.10181866365,0.5274688888888888
10000,0.7,0.1,1.0,361101.51314734423,0.5324899999999998
100,0.7,0.15,0.7,364678.3767725868,-1.4636000000000002
500,0.7,0.15,0.7,361790.1022546884,0.018359999999999786
1000,0.7,0.15,0.7,361429.5010523285,0.29465999999999987
2000,0.7,0.15,0.7,361249.7666715557,0.4323299999999998
5000,0.7,0.15,0.7,361143.1373953169,0.5189559999999999
8000,0.7,0.15,0.7,361119.07813692617,0.5401199999999998
9000,0.7,0.15,0.7,361117.97211857425,0.5449888888888889
10000,0.7,0.15,0.7,361118.3063971382,0.54784
100,0.7,0.15,0.75,364695.34184480476,-1.6568000000000003
500,0.7,0.15,0.75,361806.9561785407,-0.01972000000000031
1000,0.7,0.15,0.75,361446.3617682369,0.2694599999999997
2000,0.7,0.15,0.75,361266.6451622327,0.4225899999999998
5000,0.7,0.15,0.75,361160.0166228159,0.5154959999999998
8000,0.7,0.15,0.75,361135.955934856,0.5375474999999998
9000,0.7,0.15,0.75,361134.86262050783,0.5412711111111109
10000,0.7,0.15,0.75,361135.22767041106,0.5438919999999998
100,0.7,0.15,0.8,364712.44842352165,-1.7614000000000007
500,0.7,0.15,0.8,361823.9313939967,-0.05488000000000028
1000,0.7,0.15,0.8,361463.31984714075,0.2588799999999998
2000,0.7,0.15,0.8,361283.5895069076,0.41586999999999985
5000,0.7,0.15,0.8,361176.9650026469,0.5127039999999999
8000,0.7,0.15,0.8,361152.9148196713,0.5358674999999998
9000,0.7,0.15,0.8,361151.81554248824,0.5414644444444444
10000,0.7,0.15,0.8,361152.1671586074,0.5445679999999999
100,0.7,0.15,0.85,364729.53811401414,-1.7074000000000005
500,0.7,0.15,0.85,361840.88280398963,-0.03868000000000029
1000,0.7,0.15,0.85,361480.2524454544,0.2650399999999997
2000,0.7,0.15,0.85,361300.6079455589,0.4226699999999998
5000,0.7,0.15,0.85,361194.9686367337,0.5167759999999998
8000,0.7,0.15,0.85,361171.10507490573,0.5373049999999998
9000,0.7,0.15,0.85,361170.0923005465,0.5424844444444443
10000,0.7,0.15,0.85,361170.4477225954,0.5460039999999999
100,0.7,0.15,0.9,364748.0200373056,-1.890600000000001
500,0.7,0.15,0.9,361859.24431061005,-0.022200000000000216
1000,0.7,0.15,0.9,361498.60433078656,0.2770799999999998
2000,0.7,0.15,0.9,361318.86348169076,0.42702999999999985
5000,0.7,0.15,0.9,361212.2290240202,0.5206359999999999
8000,0.7,0.15,0.9,361188.20399451355,0.5434149999999999
9000,0.7,0.15,0.9,361187.1108840113,0.5480666666666665
10000,0.7,0.15,0.9,361187.41155089915,0.5515239999999999
100,0.7,0.15,0.95,364765.10961333965,-1.7986000000000004
500,0.7,0.15,0.95,361876.1815444741,-0.031760000000000274
1000,0.7,0.15,0.95,361515.51321354543,0.27415999999999974
2000,0.7,0.15,0.95,361335.751051065,0.4267499999999998
5000,0.7,0.15,0.95,361229.1021656962,0.5175799999999998
8000,0.7,0.15,0.95,361205.0454841356,0.5412199999999998
9000,0.7,0.15,0.95,361203.9413191293,0.5459199999999998
