Episode,Gamma,Alpha,Epsilon,Average time,Average reward
100,0.7,0.1,0.7,376263.6852423835,-2.3983999999999988
500,0.7,0.1,0.7,373283.9815752036,-0.99204
1000,0.7,0.1,0.7,372912.6222340231,-0.3478200000000002
2000,0.7,0.1,0.7,372728.12774526543,-0.0005100000000002183
5000,0.7,0.1,0.7,372619.78143344703,0.21753599999999973
8000,0.7,0.1,0.7,372597.5505403877,0.2773074999999997
9000,0.7,0.1,0.7,372599.60527591064,0.2862755555555553
10000,0.7,0.1,0.7,372603.50993444555,0.29511799999999977
100,0.7,0.1,0.75,376296.02764165634,-2.262799999999999
500,0.7,0.1,0.75,373316.05709492695,-0.9401600000000001
1000,0.7,0.1,0.75,372944.6040213323,-0.2944400000000001
2000,0.7,0.1,0.75,372759.95294800354,0.09112999999999985
5000,0.7,0.1,0.75,372651.12264078227,0.3309639999999998
8000,0.7,0.1,0.75,372627.9357840789,0.40814749999999983
9000,0.7,0.1,0.75,372628.7062705652,0.42167111111111094
10000,0.7,0.1,0.75,372631.0324999536,0.42963599999999985
100,0.7,0.1,0.8,376322.9040878464,-2.3733999999999993
500,0.7,0.1,0.8,373342.7360201453,-0.97884
1000,0.7,0.1,0.8,372971.28303310357,-0.3430000000000001
2000,0.7,0.1,0.8,372786.734378596,0.00854999999999984
5000,0.7,0.1,0.8,372678.27204760053,0.22138799999999978
8000,0.7,0.1,0.8,372656.0151371478,0.27017249999999976
9000,0.7,0.1,0.8,372658.14469728473,0.278162222222222
10000,0.7,0.1,0.8,372662.14097745024,0.28648199999999974
100,0.7,0.1,0.85,376355.31566791644,-2.4778
500,0.7,0.1,0.85,373374.890376118,-0.9505200000000004
1000,0.7,0.1,0.85,373003.3622166506,-0.22866000000000025
2000,0.7,0.1,0.85,372818.5544476729,0.17326999999999979
5000,0.7,0.1,0.85,372709.3590336266,0.4167279999999999
8000,0.7,0.1,0.85,372685.53609230235,0.4760424999999998
9000,0.7,0.1,0.85,372685.55762124097,0.48691999999999985
10000,0.7,0.1,0.85,372687.1529946197,0.49657999999999985
100,0.7,0.1,0.9,376379.2247236087,-2.4038
500,0.7,0.1,0.9,373398.58504268894,-1.0955199999999998
1000,0.7,0.1,0.9,373027.13113703945,-0.4433000000000001
2000,0.7,0.1,0.9,372842.617299741,-0.02118000000000015
5000,0.7,0.1,0.9,372734.0615519756,0.2584399999999998
8000,0.7,0.1,0.9,372711.45392083365,0.2973874999999998
9000,0.7,0.1,0.9,372713.2450687619,0.30588444444444424
10000,0.7,0.1,0.9,372716.87385435734,0.3110759999999998
100,0.7,0.1,0.95,376410.44463554554,-2.601199999999999
500,0.7,0.1,0.95,373429.6249169058,-1.3771200000000063
1000,0.7,0.1,0.95,373058.42448677425,-0.814380000000006
2000,0.7,0.1,0.95,372874.5158214342,-0.28619000000000316
5000,0.7,0.1,0.95,372767.1334247672,0.01074800000001087
8000,0.7,0.1,0.95,372746.2438740166,0.029265000000073257
9000,0.7,0.1,0.95,372750.7703154194,0.06742888888895399
10000,0.7,0.1,0.95,372757.1350878262,0.02313000000009152
100,0.7,0.1,1.0,376453.0876730042,-2.3363999999999994
500,0.7,0.1,1.0,373471.86741180543,-1.1187600000000002
1000,0.7,0.1,1.0,373100.41707044275,-0.7089000000000002
2000,0.7,0.1,1.0,372916.5018542567,-0.46335000000000026
5000,0.7,0.1,1.0,372809.66168236313,-0.03667600000000025
8000,0.7,0.1,1.0,372789.1611548899,0.023662499999999725
9000,0.7,0.1,1.0,372793.7568878232,-0.0024911111111113656
10000,0.7,0.1,1.0,372800.9607290389,-0.02420000000000025
100,0.7,0.15,0.7,376497.74331523554,-1.9732000000000003
500,0.7,0.15,0.7,373516.09482518915,-0.6673200000000005
1000,0.7,0.15,0.7,373144.2908973564,-0.14248000000000036
2000,0.7,0.15,0.7,372959.4282091022,0.1306399999999997
5000,0.7,0.15,0.7,372850.6034748054,0.3079039999999998
8000,0.7,0.15,0.7,372827.8125666062,0.31728249999999975
9000,0.7,0.15,0.7,372829.5550107222,0.31944444444444414
10000,0.7,0.15,0.7,372834.34857557423,0.3197079999999997
100,0.7,0.15,0.75,376530.03460007726,-2.2558000000000002
500,0.7,0.15,0.75,373548.14175071707,-0.6668400000000003
1000,0.7,0.15,0.75,373176.27657066553,-0.12974000000000036
2000,0.7,0.15,0.75,372991.32268956315,0.18577999999999975
5000,0.7,0.15,0.75,372882.2866744802,0.37903599999999976
8000,0.7,0.15,0.75,372858.84753647714,0.43531499999999984
9000,0.7,0.15,0.75,372859.33244989224,0.4471288888888887
10000,0.7,0.15,0.75,372861.41468688234,0.4557539999999997
100,0.7,0.15,0.8,376555.52196747466,-2.2598000000000003
500,0.7,0.15,0.8,373573.4288182598,-0.7607200000000004
1000,0.7,0.15,0.8,373201.58182700304,-0.24150000000000016
2000,0.7,0.15,0.8,373016.7578748254,0.06136999999999981
5000,0.7,0.15,0.8,372908.0266322616,0.24901199999999982
8000,0.7,0.15,0.8,372885.43288178806,0.3564774999999998
9000,0.7,0.15,0.8,372886.6359419224,0.3760777777777776
10000,0.7,0.15,0.8,372889.4806799598,0.39158999999999977
100,0.7,0.15,0.85,376584.0919992451,-2.3368
500,0.7,0.15,0.85,373601.7857957137,-0.8453600000000004
1000,0.7,0.15,0.85,373229.9535493108,-0.27224000000000037
2000,0.7,0.15,0.85,373045.14423317765,0.04461999999999967
5000,0.7,0.15,0.85,372936.50580431876,0.2412759999999997
8000,0.7,0.15,0.85,372914.00202896085,0.31092249999999966
9000,0.7,0.15,0.85,372915.6698543752,0.3354799999999998
10000,0.7,0.15,0.85,372918.94904857734,0.35555399999999976
100,0.7,0.15,0.9,376614.04750754253,-2.1770000000000005
500,0.7,0.15,0.9,373631.4907235235,-0.7570800000000004
1000,0.7,0.15,0.9,373259.5616402244,-0.17498000000000036
2000,0.7,0.15,0.9,373074.5714776197,0.18533999999999975
5000,0.7,0.15,0.9,372965.25219334185,0.4094919999999998
8000,0.7,0.15,0.9,372941.4802270652,0.46527999999999986
9000,0.7,0.15,0.9,372941.6126908354,0.47519777777777755
10000,0.7,0.15,0.9,372943.3711079512,0.4841079999999998
100,0.7,0.15,0.95,376638.09261972085,-2.1196
500,0.7,0.15,0.95,373655.3187395025,-0.7557600000000004
1000,0.7,0.15,0.95,373283.3857593833,-0.22714000000000037
2000,0.7,0.15,0.95,373098.50521202275,0.07723999999999971
5000,0.7,0.15,0.95,372989.67441769765,0.3092279999999997
8000,0.7,0.15,0.95,372966.62546620646,0.3862299999999998
9000,0.7,0.15,0.95,372967.54676442896,0.39928666666666646
10000,0.7,0.15,0.95,372970.12769941235,0.4120159999999998
100,0.7,0.15,1.0,376665.44840744557,-2.2872
500,0.7,0.15,1.0,373682.45277250704,-0.8634000000000004
1000,0.7,0.15,1.0,373310.4709450409,-0.25634000000000035
2000,0.7,0.15,1.0,373125.50533714844,0.10067999999999973
5000,0.7,0.15,1.0,373016.42709507444,0.3450319999999998
8000,0.7,0.15,1.0,372993.0284866019,0.4143424999999998
9000,0.7,0.15,1.0,372993.584077845,0.4292355555555553
10000,0.7,0.15,1.0,372995.7660501285,0.43987199999999976
100,0.7,0.2,0.7,376691.18750000285,-2.1220000000000003
500,0.7,0.2,0.7,373707.963859582,-0.4418000000000004
1000,0.7,0.2,0.7,373335.8031219807,0.05769999999999973
2000,0.7,0.2,0.7,373150.5177370803,0.3070599999999998
5000,0.7,0.2,0.7,373040.9216437053,0.46369999999999983
8000,0.7,0.2,0.7,373016.87581848743,0.49280749999999984
9000,0.7,0.2,0.7,373016.79522591806,0.4998799999999998
10000,0.7,0.2,0.7,373018.3262525836,0.5073379999999998
100,0.7,0.2,0.75,376713.78858146275,-2.0906000000000002
500,0.7,0.2,0.75,373730.38789502275,-0.6547200000000003
1000,0.7,0.2,0.75,373358.27870620054,-0.14882000000000029
2000,0.7,0.2,0.75,373173.1935829375,0.18718999999999977
5000,0.7,0.2,0.75,373064.0543231736,0.3236959999999998
8000,0.7,0.2,0.75,373040.90854180645,0.40399999999999975
9000,0.7,0.2,0.75,373041.63411108614,0.41802666666666644
10000,0.7,0.2,0.75,373043.9759976897,0.42901999999999973
100,0.7,0.2,0.8,376739.94731444307,-1.9902000000000006
500,0.7,0.2,0.8,373756.3138087335,-0.5820400000000004
1000,0.7,0.2,0.8,373384.1695745628,-0.12712000000000034
2000,0.7,0.2,0.8,373199.1314350484,0.11331999999999971
5000,0.7,0.2,0.8,373090.28255945595,0.27844399999999975
8000,0.7,0.2,0.8,373067.6023014404,0.33437249999999974
9000,0.7,0.2,0.8,373069.0810406504,0.35388666666666635
10000,0.7,0.2,0.8,373072.2099732399,0.3700019999999997
100,0.7,0.2,0.85,376768.83671921643,-2.2540000000000004
500,0.7,0.2,0.85,373785.00277636194,-0.5952800000000004
1000,0.7,0.2,0.85,373412.7891411256,-0.05504000000000025
2000,0.7,0.2,0.85,373227.5260363161,0.2578799999999998
5000,0.7,0.2,0.85,373118.11882149393,0.3538279999999998
8000,0.7,0.2,0.85,373094.78107837966,0.42531499999999983
9000,0.7,0.2,0.85,373095.3058874485,0.4303755555555554
10000,0.7,0.2,0.85,373097.525644182,0.43535199999999985
100,0.7,0.2,0.9,376794.1451795795,-2.263399999999999
500,0.7,0.2,0.9,373810.1135185204,-0.5288400000000002
1000,0.7,0.2,0.9,373437.87108728103,-0.007740000000000123
2000,0.7,0.2,0.9,373252.59847869055,0.24893999999999983
5000,0.7,0.2,0.9,373143.20920534193,0.39972399999999986
8000,0.7,0.2,0.9,373119.5883751804,0.45029999999999987
9000,0.7,0.2,0.9,373120.0226675832,0.46126666666666644
10000,0.7,0.2,0.9,373122.26506457577,0.4678019999999998
100,0.7,0.2,0.95,376819.0486090964,-2.1007999999999996
500,0.7,0.2,0.95,373834.80356055725,-0.5644800000000001
1000,0.7,0.2,0.95,373462.57054503827,-0.1071200000000002
2000,0.7,0.2,0.95,373277.46516115544,0.2097999999999998
5000,0.7,0.2,0.95,373168.3319191045,0.3778399999999998
8000,0.7,0.2,0.95,373144.89451263036,0.4193474999999998
9000,0.7,0.2,0.95,373145.582483303,0.429222222222222
10000,0.7,0.2,0.95,373148.0660086569,0.4376239999999998
100,0.7,0.2,1.0,376845.3812165061,-2.227799999999998
500,0.7,0.2,1.0,373860.92674884415,-0.6144799999999999
1000,0.7,0.2,1.0,373488.6741923015,-0.10806000000000006
2000,0.7,0.2,1.0,373303.5056979022,0.14563999999999988
5000,0.7,0.2,1.0,373194.48107748514,0.2926079999999998
8000,0.7,0.2,1.0,373171.692925697,0.35061999999999977
9000,0.7,0.2,1.0,373173.0300964815,0.36838444444444424
10000,0.7,0.2,1.0,373175.99898380024,0.38419399999999976
100,0.7,0.25,0.7,376873.61652793246,-1.8638000000000008
500,0.7,0.25,0.7,373888.91394025227,-0.41336000000000045
1000,0.7,0.25,0.7,373516.5754880009,0.006039999999999651
2000,0.7,0.25,0.7,373331.31220875884,0.26018999999999975
5000,0.7,0.25,0.7,373221.8940222449,0.4091919999999997
8000,0.7,0.25,0.7,373198.41384772427,0.45205499999999976
9000,0.7,0.25,0.7,373198.8075298435,0.4598288888888887
10000,0.7,0.25,0.7,373200.8322154583,0.4654239999999998
100,0.7,0.25,0.75,376898.3605280425,-1.9826000000000006
500,0.7,0.25,0.75,373913.43880135915,-0.4129600000000002
1000,0.7,0.25,0.75,373540.99731066084,0.0742199999999998
2000,0.7,0.25,0.75,373355.5416528814,0.3146999999999998
5000,0.7,0.25,0.75,373245.830032264,0.47005599999999975
8000,0.7,0.25,0.75,373221.69653622014,0.5059324999999998
9000,0.7,0.25,0.75,373221.49039134296,0.5139022222222221
10000,0.7,0.25,0.75,373222.83843426936,0.5201839999999999
100,0.7,0.25,0.8,376920.2373117012,-1.9747999999999999
500,0.7,0.25,0.8,373935.15640880115,-0.5096400000000003
1000,0.7,0.25,0.8,373562.72389307985,0.014859999999999787
2000,0.7,0.25,0.8,373377.2926732245,0.2844999999999998
5000,0.7,0.25,0.8,373267.631870642,0.4453239999999999
8000,0.7,0.25,0.8,373243.6691816229,0.47307249999999984
9000,0.7,0.25,0.8,373243.7591826559,0.4786488888888887
10000,0.7,0.25,0.8,373245.47955372493,0.4824019999999999
100,0.7,0.25,0.85,376943.3598438283,-2.075800000000001
500,0.7,0.25,0.85,373958.0996480516,-0.44008000000000047
1000,0.7,0.25,0.85,373585.6781500668,-0.0035400000000003332
2000,0.7,0.25,0.85,373400.3498406981,0.25450999999999974
5000,0.7,0.25,0.85,373290.9572555476,0.37943199999999977
8000,0.7,0.25,0.85,373267.52571509447,0.4370399999999998
9000,0.7,0.25,0.85,373268.01823821187,0.4494577777777776
10000,0.7,0.25,0.85,373270.07263652276,0.4586119999999999
100,0.7,0.25,0.9,376968.20916729764,-1.989
500,0.7,0.25,0.9,373982.7330948122,-0.4410000000000003
1000,0.7,0.25,0.9,373610.24763369095,0.04251999999999981
2000,0.7,0.25,0.9,373424.81537666556,0.2848199999999998
5000,0.7,0.25,0.9,373315.1764603391,0.45299599999999984
8000,0.7,0.25,0.9,373291.16061782936,0.48865499999999984
9000,0.7,0.25,0.9,373291.1208062809,0.49735555555555533
10000,0.7,0.25,0.9,373292.6615828418,0.5044219999999997
100,0.7,0.25,0.95,376990.82512186735,-1.9383999999999997
500,0.7,0.25,0.95,374005.1729778116,-0.4082000000000003
1000,0.7,0.25,0.95,373632.6778235289,0.0367799999999998
2000,0.7,0.25,0.95,373447.2702659439,0.2869699999999998
5000,0.7,0.25,0.95,373337.6313886692,0.4566879999999998
8000,0.7,0.25,0.95,373313.60057962197,0.48996749999999983
9000,0.7,0.25,0.95,373313.55012971023,0.49791111111111097
10000,0.7,0.25,0.95,373315.0968568117,0.5028499999999998
100,0.7,0.25,1.0,377013.5406448479,-2.0251999999999994
500,0.7,0.25,1.0,374027.7236332095,-0.4377200000000001
1000,0.7,0.25,1.0,373655.1621811114,0.05783999999999989
2000,0.7,0.25,1.0,373469.6671174285,0.30733999999999984
5000,0.7,0.25,1.0,373359.9406063407,0.46715599999999985
8000,0.7,0.25,1.0,373335.8209447534,0.5028149999999999
9000,0.7,0.25,1.0,373335.6173726039,0.5102666666666665
10000,0.7,0.25,1.0,373336.98926106433,0.5168019999999999
100,0.7,0.3,0.7,377035.5327684395,-1.9024000000000003
500,0.7,0.3,0.7,374049.52021161024,-0.5186400000000004
1000,0.7,0.3,0.7,373677.0272108991,-0.10930000000000038
2000,0.7,0.3,0.7,373491.8093922677,0.14410999999999968
5000,0.7,0.3,0.7,373382.70577801164,0.34087999999999974
8000,0.7,0.3,0.7,373359.4637709235,0.4020374999999997
9000,0.7,0.3,0.7,373360.29198418383,0.3972266666666665
10000,0.7,0.3,0.7,373362.9997305698,0.3928619999999999
100,0.7,0.3,0.75,377062.5934750767,-1.9017999999999997
500,0.7,0.3,0.75,374076.3396904027,-0.31188000000000016
1000,0.7,0.3,0.75,373703.66814947576,0.10867999999999986
2000,0.7,0.3,0.75,373518.0830962838,0.33732999999999985
5000,0.7,0.3,0.75,373408.27296085784,0.4737439999999999
8000,0.7,0.3,0.75,373384.11461094965,0.5079224999999999
9000,0.7,0.3,0.75,373383.8871399458,0.5146133333333331
10000,0.7,0.3,0.75,373385.2302542174,0.5211419999999998
100,0.7,0.3,0.8,377084.24937309226,-1.9964000000000002
500,0.7,0.3,0.8,374097.8274943737,-0.3476400000000003
1000,0.7,0.3,0.8,373725.1737560076,0.09365999999999977
2000,0.7,0.3,0.8,373539.6060035113,0.32585999999999976
5000,0.7,0.3,0.8,373429.84803117946,0.4441479999999999
8000,0.7,0.3,0.8,373405.915811944,0.48713749999999995
9000,0.7,0.3,0.8,373405.86969156045,0.4964111111111109
10000,0.7,0.3,0.8,373407.46262289485,0.5039259999999999
100,0.7,0.3,0.85,377106.77465905267,-1.7502000000000009
500,0.7,0.3,0.85,374120.19301130023,-0.4151600000000004
1000,0.7,0.3,0.85,373747.61867545644,-0.052120000000000374
2000,0.7,0.3,0.85,373562.3566435168,0.15324999999999972
5000,0.7,0.3,0.85,373453.32942386845,0.29805599999999977
8000,0.7,0.3,0.85,373430.56210545695,0.32899249999999974
9000,0.7,0.3,0.85,373432.19056280394,0.33449999999999974
10000,0.7,0.3,0.85,373435.6400258566,0.33800399999999975
100,0.7,0.3,0.9,377136.30988180236,-2.0254000000000003
500,0.7,0.3,0.9,374149.5018048408,-0.4887200000000004
1000,0.7,0.3,0.9,373776.89591733576,-0.05804000000000031
2000,0.7,0.3,0.9,373591.5721048963,0.16953999999999975
5000,0.7,0.3,0.9,373482.2848394586,0.3827599999999998
