Episode,Gamma,Average time,Average reward
100,0.7,693860.37943912,0.4121999999999998
500,0.7,688365.6558175837,0.5474799999999997
1000,0.7,687681.6140906746,0.5654799999999999
2000,0.7,687343.906239919,0.5743799999999999
5000,0.7,687151.3064518283,0.5803959999999998
10000,0.7,687113.0387635104,0.5822839999999999
100,0.71,693935.7906443082,0.4121999999999998
500,0.71,688440.4652662623,0.5474799999999997
1000,0.71,687756.384297149,0.5654799999999999
2000,0.71,687418.6529055351,0.5743799999999999
5000,0.71,687225.8949451498,0.5803959999999998
10000,0.71,687185.7526369161,0.5822839999999999
100,0.72,694007.677802334,0.4121999999999998
500,0.72,688511.7543464056,0.5474799999999997
1000,0.72,687827.5516071524,0.5654799999999999
2000,0.72,687489.8480935422,0.5743799999999999
5000,0.72,687297.0584610444,0.5803959999999998
10000,0.72,687260.0140883459,0.5822839999999999
100,0.73,694083.2956252568,0.4121999999999998
500,0.73,688586.7781916913,0.5474799999999997
1000,0.73,687902.7921935001,0.5654799999999999
2000,0.73,687564.9488849108,0.5743799999999999
5000,0.73,687372.1631562718,0.5803959999999998
10000,0.73,687331.7034847648,0.5822839999999999
100,0.74,694154.8898548636,0.4121999999999998
500,0.74,688657.8261684121,0.5474799999999997
1000,0.74,687973.4442461282,0.5654799999999999
2000,0.74,687635.4702665327,0.5743799999999999
5000,0.74,687442.7154335725,0.5803959999999998
10000,0.74,687402.603567874,0.5822839999999999
100,0.75,694226.6517506237,0.4121999999999998
500,0.75,688728.9887578717,0.5474799999999997
1000,0.75,688044.4948823996,0.5654799999999999
2000,0.75,687706.5311595866,0.5743799999999999
5000,0.75,687513.476104729,0.5803959999999998
10000,0.75,687473.0830443625,0.5822839999999999
100,0.76,694298.9336481391,0.4121999999999998
500,0.76,688800.8592067627,0.5474799999999997
1000,0.76,688116.6332513862,0.5654799999999999
2000,0.76,687779.3171199269,0.5743799999999999
5000,0.76,687587.8481578714,0.5803959999999998
10000,0.76,687550.2936812167,0.5822839999999999
100,0.77,694377.5385116031,0.4121999999999998
500,0.77,688878.8236722641,0.5474799999999997
1000,0.77,688194.7650397248,0.5654799999999999
