Episode,Rewards,Average Rewards,Time Taken,Variance
1,-1.8600000000000003,-1.8600000000000003,1721593.5439858,0.07046636527600002
2,-1.8800000000000003,-1.8700000000000003,2582390.3211263,0.03523318263800001
3,-1.62,-1.786666666666667,3443187.1012827,0.023488788425333338
4,-1.6,-1.7400000000000002,4303983.8836934,0.017616591319000004
5,-1.7200000000000002,-1.7360000000000002,5164780.6697082,0.014093273055200004
6,-3.2000000000000015,-1.9800000000000004,6025577.4750636,0.011744394212666669
7,-2.520000000000001,-2.057142857142858,6886374.287534299,0.010066623610857145
8,-1.58,-1.9975000000000005,7747171.1086856,0.008808295659500002
9,-3.660000000000002,-2.182222222222223,8607967.9400514,0.00782959614177778
10,-1.36,-2.1000000000000005,9468764.773291,0.007046636527600002
11,-1.9600000000000004,-2.087272727272728,10329561.6141323,0.0064060332069090925
12,-4.900000000000003,-2.3216666666666677,11190358.4715822,0.0058721971063333345
13,-2.2600000000000007,-2.3169230769230778,12051155.3363829,0.005420489636615386
14,-0.10000000000000053,-2.1585714285714297,12911952.2051041,0.005033311805428572
15,-2.9600000000000013,-2.212000000000001,13772749.0814006,0.004697757685066668
16,-2.800000000000001,-2.248750000000001,14633545.9725,0.004404147829750001
17,-1.3,-2.192941176470589,15494342.8648028,0.004145080310352942
18,-3.2000000000000015,-2.24888888888889,16355139.771553,0.00391479807088889
19,-2.0400000000000005,-2.2378947368421063,17215936.6926238,0.0037087560671578957
20,-1.3800000000000001,-2.195000000000001,18076733.6153808,0.003523318263800001
21,-1.7200000000000002,-2.172380952380953,18937530.5428227,0.0033555412036190484
22,-2.440000000000001,-2.1845454545454555,19798327.4771661,0.0032030166034545463
23,-1.8000000000000003,-2.1678260869565222,20659124.4143252,0.003063755012000001
24,-2.2800000000000007,-2.1725000000000008,21519921.3567954,0.0029360985531666673
25,-1.7200000000000002,-2.1544000000000008,22380718.3025022,0.0028186546110400006
26,-2.1000000000000005,-2.152307692307693,23241515.2609981,0.002710244818307693
27,-0.10000000000000053,-2.076296296296297,24102312.2294941,0.0026098653805925933
28,-1.16,-2.043571428571429,24963109.1990508,0.002516655902714286
29,-4.640000000000002,-2.1331034482758624,25823906.1958898,0.0024298746646896556
30,-1.3,-2.1053333333333337,26684703.1963738,0.002348878842533334
31,-0.44000000000000083,-2.0516129032258066,27545500.206859,0.002273108557290323
32,-1.8800000000000003,-2.04625,28406297.2342489,0.0022020739148750005
33,-2.420000000000001,-2.0575757575757576,29267094.289158598,0.0021353444023030307
34,-1.56,-2.0429411764705883,30127891.347549,0.002072540155176471
35,-3.1800000000000015,-2.075428571428572,30988688.4271463,0.002013324722171429
36,-1.9800000000000004,-2.0727777777777785,31849485.5179013,0.001957399035444445
37,-1.8800000000000003,-2.067567567567568,32710282.614315603,0.0019044963588108112
38,-1.12,-2.042631578947369,33571079.7116205,0.0018543780335789478
39,-1.4600000000000002,-2.027692307692308,34431876.8121104,0.0018068298788717952
40,-0.22000000000000064,-1.9825000000000004,35292673.917457804,0.0017616591319000005
41,0.2799999999999997,-1.9273170731707319,36153471.0256173,0.0017186918360000004
42,-1.4000000000000001,-1.914761904761905,37014268.1355336,0.0016777706018095242
43,-0.4200000000000008,-1.8800000000000003,37875065.2559704,0.0016387526808372098
44,-0.12000000000000055,-1.8400000000000005,38735862.3851872,0.0016015083017272731
45,-1.3200000000000016,-1.8284444444444452,39596659.5538594,0.0015659192283555559
