Episode,Rewards,Average Rewards,Time Taken,Variance
1,-1.5,-1.5,1826365.5118687,0.10778067160000003
2,-3.3600000000000017,-2.4300000000000006,2739548.2807664,0.053890335800000015
3,-1.4800000000000002,-2.1133333333333337,3652731.051468,0.035926890533333346
4,-3.1400000000000015,-2.370000000000001,4565913.830839,0.026945167900000008
5,-3.1000000000000014,-2.516000000000001,5479096.6177095,0.021556134320000007
6,-1.7800000000000002,-2.3933333333333344,6392279.4077412,0.017963445266666673
7,-3.0000000000000013,-2.480000000000001,7305462.2065324,0.015397238800000004
8,-2.420000000000001,-2.472500000000001,8218645.010294,0.013472583950000004
9,-1.58,-2.373333333333334,9131827.8164215,0.011975630177777781
10,-5.839999999999985,-2.7199999999999993,10045010.6430492,0.010778067160000003
11,-1.9000000000000004,-2.645454545454545,10958193.4730723,0.009798242872727276
12,-2.780000000000001,-2.6566666666666663,11871376.3108492,0.008981722633333336
13,-3.0600000000000014,-2.6876923076923074,12784559.158383999,0.008290820892307694
14,-4.900000000000003,-2.845714285714286,13697742.021082599,0.007698619400000002
15,-1.8800000000000003,-2.781333333333334,14610924.886872599,0.007185378106666669
16,-1.6400000000000001,-2.7100000000000004,15524107.754889298,0.006736291975000002
17,-3.0200000000000014,-2.7282352941176478,16437290.631006798,0.006340039505882355
18,-4.440000000000003,-2.823333333333334,17350473.5194994,0.005987815088888891
19,-1.7400000000000002,-2.766315789473685,18263656.4107178,0.005672666926315791
20,-3.2800000000000016,-2.7920000000000007,19176839.312077,0.005389033580000002
21,-4.040000000000003,-2.8514285714285728,20090022.2243126,0.0051324129333333345
22,-2.800000000000001,-2.8490909090909105,21003205.1439228,0.004899121436363638
23,-1.24,-2.77913043478261,21916388.064485997,0.004686116156521741
24,-4.480000000000002,-2.8500000000000014,22829570.997777298,0.004490861316666668
25,-1.6,-2.800000000000001,23742753.933530398,0.004311226864000001
26,-1.5,-2.750000000000001,24655936.871022597,0.004145410446153847
27,-2.3200000000000007,-2.7340740740740754,25569119.8137289,0.003991876725925927
28,-1.6400000000000001,-2.695000000000001,26482302.7596889,0.003849309700000001
29,-1.9200000000000004,-2.668275862068967,27395485.709753398,0.0037165748827586217
30,-1.8200000000000003,-2.6400000000000015,28308668.662899,0.0035926890533333343
31,0.019999999999999463,-2.5541935483870986,29221851.6197132,0.003476795858064517
32,-1.6800000000000002,-2.5268750000000018,30135034.581344597,0.003368145987500001
33,-3.2200000000000015,-2.5478787878787896,31048217.5556977,0.0032660809575757585
34,-1.4200000000000002,-2.514705882352943,31961400.533395097,0.0031700197529411773
35,-2.460000000000001,-2.513142857142859,32874583.519612897,0.0030794477600000008
36,-4.120000000000003,-2.5577777777777797,33787766.5248554,0.0029939075444444453
37,-1.4600000000000002,-2.5281081081081096,34700949.5331984,0.0029129911243243253
38,-2.2400000000000007,-2.5205263157894753,35614132.5499293,0.0028363334631578956
39,-1.9200000000000004,-2.5051282051282064,36527315.5716443,0.0027636069641025648
40,-1.8400000000000003,-2.4885000000000015,37440498.5997316,0.002694516790000001
41,-1.7400000000000002,-2.4702439024390257,38353681.633030504,0.0026287968682926835
42,-2.580000000000001,-2.472857142857144,39266864.67799371,0.0025662064666666672
43,-3.2000000000000015,-2.4897674418604665,40180047.734811805,0.0025065272465116285
44,-2.780000000000001,-2.496363636363638,41093230.800516,0.002449560718181819
45,-1.62,-2.4768888888888902,42006413.8684286,0.0023951260355555564
46,-1.6400000000000001,-2.4586956521739145,42919596.938749306,0.0023430580782608703
47,-2.560000000000001,-2.4608510638297885,43832780.01560841,0.0022932057787234048
48,-0.0600000000000005,-2.410833333333335,44745963.098516606,0.002245430658333334
49,-2.440000000000001,-2.411428571428573,45659146.18709621,0.0021996055428571437
50,-1.8400000000000003,-2.4000000000000012,46572329.278910406,0.0021556134320000007
51,-1.3800000000000001,-2.3800000000000012,47485512.37220721,0.002113346501960785
52,-1.4800000000000002,-2.362692307692309,48398695.467402406,0.0020727052230769235
53,-1.1400000000000001,-2.339622641509435,49311878.5631692,0.002033597577358491
54,-1.9800000000000004,-2.3329629629629642,50225061.662296504,0.0019959383629629636
55,-2.0000000000000004,-2.3269090909090924,51138244.7648153,0.001959648574545455
56,-1.56,-2.313214285714287,52051427.8695853,0.0019246548500000005
57,-1.32,-2.295789473684212,52964610.9756287,0.001890888975438597
58,-2.520000000000001,-2.2996551724137944,53877794.08750729,0.0018582874413793108
59,-3.0200000000000014,-2.3118644067796628,54790977.20653849,0.001826791044067797
60,-1.8800000000000003,-2.304666666666668,55704160.32947539,0.0017963445266666672
61,-2.720000000000001,-2.311475409836067,56617343.459149085,0.0017668962557377053
62,-1.6400000000000001,-2.3006451612903236,57530526.59128168,0.0017383979290322585
63,-0.1600000000000006,-2.266666666666668,58443709.72860108,0.0017108043111111115
64,-1.8800000000000003,-2.260625000000001,59356892.868985884,0.0016840729937500005
65,-1.7400000000000002,-2.252615384615386,60270076.01265268,0.001658164178461539
66,-2.520000000000001,-2.2566666666666677,61183259.16193878,0.0016330404787878792
67,-1.7000000000000002,-2.2483582089552248,62096442.31446188,0.001608666740298508
68,-3.660000000000002,-2.2691176470588243,63009625.47731778,0.0015850098764705887
69,-2.660000000000001,-2.274782608695653,63922808.64947888,0.0015620387188405801
70,-2.3600000000000008,-2.276000000000001,64835991.82914798,0.0015397238800000004
71,-1.54,-2.2656338028169025,65749175.01255748,0.0015180376281690145
72,-1.8600000000000003,-2.260000000000001,66662358.20105798,0.0014969537722222227
73,-1.8400000000000003,-2.2542465753424668,67575541.39513758,0.001476447556164384
74,-3.4800000000000018,-2.270810810810812,68488724.60346398,0.0014564955621621627
75,-0.5200000000000009,-2.247466666666668,69401907.82283968,0.0014370756213333336
76,-1.56,-2.23842105263158,70315091.04666208,0.0014181667315789478
77,-4.860000000000003,-2.272467532467534,71228274.29713468,0.0013997489818181822
78,-0.14000000000000057,-2.2451282051282067,72141457.55399388,0.0013818034820512824
79,-1.52,-2.235949367088609,73054640.81531519,0.0013643122987341777
80,-0.5600000000000009,-2.2150000000000016,73967824.08369489,0.0013472583950000004
81,-0.5600000000000009,-2.1945679012345694,74881007.35746339,0.0013306255753086423
82,0.07999999999999952,-2.1668292682926844,75794190.63765919,0.0013143984341463417
83,-0.48000000000000087,-2.1465060240963867,76707373.92301469,0.0012985623084337352
84,-2.9800000000000013,-2.1564285714285725,77620557.21752179,0.0012831032333333336
85,-1.5,-2.1487058823529424,78533740.51492359,0.001268007901176471
86,-1.640000000000002,-2.1427906976744198,79446923.82196009,0.0012532636232558143
87,-0.3800000000000008,-2.1225287356321854,80360107.13430639,0.0012388582942528738
88,0.23999999999999966,-2.0956818181818195,81273290.44936979,0.0012247803590909095
89,-0.9200000000000013,-2.0824719101123605,82186473.77151519,0.0012110187820224723
90,0.43999999999999984,-2.0544444444444454,83099657.09582739,0.0011975630177777782
91,-1.4800000000000002,-2.048131868131869,84012840.42215398,0.0011844029846153849
92,0.11999999999999955,-2.0245652173913053,84926023.75152968,0.0011715290391304351
93,-3.3000000000000016,-2.0382795698924743,85839207.08916208,0.0011589319526881725
94,-1.54,-2.032978723404256,86752390.42868428,0.0011466028893617024
95,0.47999999999999987,-2.0065263157894746,87665573.77002648,0.0011345333852631583
96,-0.1800000000000006,-1.987500000000001,88578757.11604567,0.001122715329166667
97,-1.9200000000000004,-1.986804123711341,89491940.46538787,0.0011111409443298973
98,-2.500000000000001,-1.9920408163265315,90405123.82045527,0.0010998027714285718
99,-1.54,-1.9874747474747483,91318307.17740077,0.0010886936525252528
100,-1.4800000000000002,-1.9824000000000006,92231490.53640477,0.0010778067160000003
101,-1.9600000000000004,-1.9821782178217828,93144673.89886467,0.0010671353623762378
102,-0.34000000000000075,-1.9660784313725497,94057857.26871997,0.0010566732509803924
103,-1.6,-1.962524271844661,94971040.64120927,0.0010464142873786411
104,-0.36000000000000076,-1.9471153846153855,95884224.02188368,0.0010363526115384617
105,-1.4800000000000002,-1.9426666666666674,96797407.40689608,0.0010264825866666669
106,-0.2800000000000007,-1.9269811320754724,97710590.80018878,0.0010167987886792456
107,-2.1400000000000006,-1.9289719626168234,98623774.20006698,0.0010072959962616826
108,-1.3800000000000017,-1.9238888888888896,99536957.61030248,0.0009979691814814818
109,0.1599999999999996,-1.9047706422018358,100450141.02508608,0.0009888135009174315
110,-2.1000000000000005,-1.9065454545454552,101363324.44632207,0.0009798242872727275
111,0.4999999999999999,-1.8848648648648656,102276507.87041056,0.0009709970414414417
112,-2.3200000000000007,-1.8887500000000006,103189691.30202577,0.0009623274250000003
113,0.019999999999999463,-1.8718584070796467,104102874.73862447,0.0009538112530973454
114,0.13999999999999957,-1.8542105263157902,105016058.18100446,0.0009454444877192985
115,0.1799999999999996,-1.8365217391304354,105929241.62822106,0.0009372232313043481
116,-0.1800000000000006,-1.8222413793103456,106842425.08135927,0.0009291437206896554
117,-1.5,-1.81948717948718,107755608.53667277,0.0009212023213675217
118,-0.44000000000000083,-1.8077966101694922,108668791.99996068,0.0009133955220338985
119,-4.440892098500626e-16,-1.7926050420168074,109581975.46866538,0.0009057199294117649
120,-1.7800000000000002,-1.7925000000000006,110495158.94032837,0.0008981722633333336
121,-0.0600000000000005,-1.7781818181818188,111408342.41646397,0.000890749352066116
122,0.0599999999999995,-1.7631147540983614,112321525.89658047,0.0008834481278688527
123,-1.9800000000000004,-1.7648780487804883,113234709.37995647,0.0008762656227642279
124,-1.6800000000000002,-1.7641935483870974,114147892.86571357,0.0008691989645161292
125,-2.4600000000000026,-1.7697600000000007,115061076.36444277,0.0008622453728000003
126,-0.7600000000000011,-1.7617460317460323,115974259.86903897,0.0008554021555555557
127,0.23999999999999966,-1.7459842519685045,116887443.37681498,0.0008486667055118113
128,-1.4800000000000002,-1.7439062500000004,117800626.88667607,0.0008420364968750002
129,-1.4200000000000002,-1.7413953488372096,118713810.39817837,0.0008355090821705428
130,0.45999999999999985,-1.7244615384615387,119626993.91176698,0.0008290820892307694
131,0.2599999999999997,-1.709312977099237,120540177.42802338,0.0008227532183206109
132,0.1799999999999996,-1.6950000000000003,121453360.94728619,0.0008165202393939396
133,-1.58,-1.694135338345865,122366544.46898459,0.0008103809894736844
134,-0.34000000000000075,-1.684029850746269,123279727.99576779,0.000804333370149254
135,-0.08000000000000052,-1.6721481481481486,124192911.52648449,0.0007983753451851854
136,0.5199999999999998,-1.6560294117647063,125106095.05899489,0.0007925049382352943
137,-1.8200000000000003,-1.657226277372263,126019278.59435949,0.0007867202306569345
138,-0.4200000000000008,-1.6482608695652177,126932462.13545738,0.0007810193594202901
139,0.5799999999999998,-1.6322302158273383,127845645.67822848,0.0007754005151079139
140,0.5799999999999998,-1.6164285714285715,128758829.22257799,0.0007698619400000002
141,-0.04000000000000048,-1.6052482269503547,129672012.77044559,0.000764401926241135
142,-1.4200000000000002,-1.603943661971831,130585196.31970689,0.0007590188140845072
143,-1.6800000000000002,-1.6044755244755244,131498379.87153068,0.0007537109902097905
144,0.2799999999999997,-1.591388888888889,132411563.42634808,0.0007484768861111113
145,0.5999999999999999,-1.5762758620689656,133324746.98259188,0.0007433149765517244
146,0.5999999999999999,-1.5613698630136987,134237930.5402028,0.000738223778082192
147,0.09999999999999953,-1.5500680272108844,135151114.1012682,0.0007332018476190478
148,-1.6400000000000001,-1.5506756756756757,136064297.6645463,0.0007282477810810813
149,-4.440892098500626e-16,-1.5402684563758389,136977481.2313202,0.0007233602120805371
150,-0.580000000000001,-1.5338666666666667,137890664.8075642,0.0007185378106666668
151,-1.0200000000000014,-1.5304635761589405,138803848.3945781,0.0007137792821192055
152,-1.4600000000000002,-1.5300000000000002,139717031.9843142,0.0007090833657894739
153,-0.2600000000000007,-1.5216993464052289,140630215.5821827,0.0007044488339869283
154,0.019999999999999463,-1.5116883116883117,141543399.1863293,0.0006998744909090911
155,0.31999999999999973,-1.4998709677419355,142456582.7936887,0.0006953591716129035
156,-0.0600000000000005,-1.4906410256410259,143369766.40758562,0.0006909017410256412
157,-1.7200000000000002,-1.4921019108280256,144282950.02478123,0.0006865010929936308
158,-1.9400000000000004,-1.4949367088607597,145196133.64738682,0.0006821561493670889
159,0.43999999999999984,-1.4827672955974844,146109317.27368233,0.000677865859119497
160,0.2599999999999997,-1.4718750000000003,147022500.90479842,0.0006736291975000002
161,-0.04000000000000048,-1.4629813664596274,147935684.54175693,0.0006694451652173915
162,0.09999999999999953,-1.4533333333333336,148848868.18397784,0.0006653127876543211
163,0.23999999999999966,-1.4429447852760737,149762051.83155194,0.0006612311141104296
164,0.19999999999999962,-1.4329268292682928,150675235.48358664,0.0006571992170731709
165,0.43999999999999984,-1.4215757575757577,151588419.13897574,0.0006532161915151517
166,0.43999999999999984,-1.4103614457831328,152501602.79849964,0.0006492811542168676
167,-1.8000000000000003,-1.4126946107784433,153414786.46316326,0.0006453932431137727
168,-4.440892098500626e-16,-1.4042857142857146,154327970.13350135,0.0006415516166666668
169,0.03999999999999948,-1.3957396449704145,155241153.80846754,0.000637755453254438
170,0.4999999999999999,-1.384588235294118,156154337.48669484,0.0006340039505882355
171,0.5199999999999998,-1.373450292397661,157067521.16690764,0.000630296325146199
172,-0.4000000000000008,-1.367790697674419,157980704.85197642,0.0006266318116279071
173,0.5599999999999998,-1.356647398843931,158893888.53858194,0.0006230096624277458
174,0.2799999999999997,-1.347241379310345,159807072.22766665,0.0006194291471264369
175,-1.9200000000000004,-1.350514285714286,160720255.92036206,0.0006158895520000002
176,0.5599999999999998,-1.339659090909091,161633439.61584964,0.0006123901795454548
