Episode,Rewards,Average Rewards,Time Taken,Variance
1,-1.8600000000000003,-1.8600000000000003,1722093.9460847,0.022846448808960022
2,-1.8800000000000003,-1.8700000000000003,2583140.9264427,0.011423224404480011
3,-1.62,-1.786666666666667,3444187.9159285,0.0076154829363200074
4,-1.6,-1.7400000000000002,4305234.9078424,0.005711612202240006
5,-1.7200000000000002,-1.7360000000000002,5166281.903407499,0.004569289761792004
6,-3.2000000000000015,-1.9800000000000004,6027328.907781599,0.0038077414681600037
7,-2.520000000000001,-2.057142857142858,6888375.918641499,0.0032637784012800033
8,-1.58,-1.9975000000000005,7749422.932495399,0.002855806101120003
9,-3.660000000000002,-2.182222222222223,8610469.9568675,0.002538494312106669
10,-1.36,-2.1000000000000005,9471516.9826758,0.002284644880896002
11,-1.9600000000000004,-2.087272727272728,10332564.0174444,0.0020769498917236383
12,-4.900000000000003,-2.3216666666666677,11193611.0803041,0.0019038707340800019
13,-2.2600000000000007,-2.3169230769230778,12054658.1531155,0.0017574191391507708
14,-0.10000000000000053,-2.1585714285714297,12915705.2311015,0.0016318892006400017
15,-2.9600000000000013,-2.212000000000001,13776752.3169327,0.0015230965872640016
16,-2.800000000000001,-2.248750000000001,14637799.415314501,0.0014279030505600014
17,-1.3,-2.192941176470589,15498846.5149684,0.0013439087534682366
18,-3.2000000000000015,-2.24888888888889,16359893.622696301,0.0012692471560533346
19,-2.0400000000000005,-2.2378947368421063,17220940.7350904,0.0012024446741557906
20,-1.3800000000000001,-2.195000000000001,18081987.8520747,0.001142322440448001
21,-1.7200000000000002,-2.172380952380953,18943034.9758475,0.001087926133760001
22,-2.440000000000001,-2.1845454545454555,19804082.107934102,0.0010384749458618192
23,-1.8000000000000003,-2.1678260869565222,20665129.2432903,0.0009933238612591315
24,-2.2800000000000007,-2.1725000000000008,21526176.383661103,0.0009519353670400009
25,-1.7200000000000002,-2.1544000000000008,22387223.526948802,0.0009138579523584009
26,-2.1000000000000005,-2.152307692307693,23248270.674467802,0.0008787095695753854
27,-0.10000000000000053,-2.076296296296297,24109317.8271875,0.000846164770702223
28,-1.16,-2.043571428571429,24970364.981178302,0.0008159446003200008
29,-4.640000000000002,-2.1331034482758624,25831412.159309603,0.0007878085796193111
30,-1.3,-2.1053333333333337,26692459.340795502,0.0007615482936320008
31,-0.44000000000000083,-2.0516129032258066,27553506.543345302,0.0007369822196438717
32,-1.8800000000000003,-2.04625,28414553.7506265,0.0007139515252800007
33,-2.420000000000001,-2.0575757575757576,29275600.9697829,0.0006923166305745461
34,-1.56,-2.0429411764705883,30136648.1922077,0.0006719543767341183
35,-3.1800000000000015,-2.075428571428572,30997695.4633532,0.0006527556802560006
36,-1.9800000000000004,-2.0727777777777785,31858742.740409203,0.0006346235780266673
37,-1.8800000000000003,-2.067567567567568,32719790.024058804,0.000617471589431352
38,-1.12,-2.042631578947369,33580837.3082979,0.0006012223370778953
39,-1.4600000000000002,-2.027692307692308,34441884.594437405,0.0005858063797169236
40,-0.22000000000000064,-1.9825000000000004,35302931.884724006,0.0005711612202240005
41,0.2799999999999997,-1.9273170731707319,36163979.178456105,0.0005572304587551225
42,-1.4000000000000001,-1.914761904761905,37025026.47504221,0.0005439630668800005
43,-0.4200000000000008,-1.8800000000000003,37886073.77957781,0.0005313127629990703
44,-0.12000000000000055,-1.8400000000000005,38747121.09080601,0.0005192374729309096
45,-1.3200000000000016,-1.8284444444444452,39608168.427662306,0.0005076988624213338
46,-0.8200000000000012,-1.8065217391304356,40469215.7721085,0.0004966619306295657
47,-1.7200000000000002,-1.8046808510638306,41330263.1194529,0.0004860946555097877
48,-1.3800000000000001,-1.795833333333334,42191310.468174204,0.00047596768352000047
49,-2.1800000000000006,-1.8036734693877559,43052357.8210892,0.00046625405732571474
50,-1.34,-1.7944000000000009,43913405.1778636,0.00045692897617920046
51,-1.4200000000000017,-1.7870588235294127,44774452.5494983,0.0004479695844894122
52,-2.3000000000000007,-1.7969230769230777,45635499.9274319,0.0004393547847876927
53,-1.3,-1.7875471698113214,46496547.306715496,0.0004310650718671702
54,-2.1400000000000023,-1.7940740740740748,47357594.71618649,0.0004230823853511115
55,-1.3800000000000001,-1.786545454545455,48218642.12895139,0.00041538997834472766
56,-0.20000000000000062,-1.7582142857142864,49079689.552553296,0.0004079723001600004
57,-1.9600000000000004,-1.7617543859649127,49940736.992852695,0.00040081489138526355
58,-1.32,-1.7541379310344831,50801784.439091295,0.00039390428980965554
59,-2.0400000000000005,-1.7589830508474582,51662831.912920594,0.00038722794591457667
60,-0.10000000000000053,-1.7313333333333338,52523879.4026574,0.0003807741468160004
61,-0.32000000000000073,-1.708196721311476,53384926.905958,0.0003745319476878692
62,-1.3,-1.701612903225807,54245974.410350494,0.00036849110982193587
63,-2.0400000000000005,-1.7069841269841275,55107021.922905095,0.00036264204458666703
64,-1.8400000000000003,-1.7090625000000006,55968069.4410762,0.00035697576264000035
65,0.03999999999999948,-1.6821538461538466,56829116.9625728,0.0003514838278301542
66,-0.20000000000000062,-1.6596969696969701,57690164.4901452,0.00034615831528727307
67,0.1799999999999996,-1.6322388059701498,58551212.0225991,0.00034099177326806006
68,-1.0600000000000014,-1.6238235294117653,59412259.5750923,0.00033597718836705915
69,-1.5,-1.622028985507247,60273307.129285,0.0003311079537530438
70,-1.8200000000000003,-1.6248571428571434,61134354.687446,0.0003263778401280003
71,-1.0400000000000014,-1.6166197183098598,61995402.2535553,0.000321780969140282
72,-1.12,-1.609722222222223,62856449.8202398,0.00031731178901333364
73,-1.7000000000000002,-1.6109589041095898,63717497.389708094,0.00031296505217753455
74,-2.1400000000000006,-1.6181081081081088,64578544.96395499,0.000308735794715676
75,-0.3000000000000007,-1.600533333333334,65439592.543718494,0.00030461931745280027
76,-2.0400000000000005,-1.606315789473685,66300640.12973149,0.00030061116853894766
77,-2.2000000000000006,-1.6140259740259748,67161687.72621629,0.0002967071273890912
78,-1.8800000000000003,-1.6174358974358982,68022735.33559279,0.0002929031898584618
79,0.19999999999999962,-1.594430379746836,68883782.9502028,0.0002891955545437978
80,0.43999999999999984,-1.5690000000000006,69744830.56812829,0.00028558061011200027
81,-0.600000000000001,-1.5570370370370377,70605878.196864,0.00028205492356740767
82,-1.8800000000000003,-1.5609756097560983,71466925.83299239,0.00027861522937756123
83,0.13999999999999957,-1.5404819277108441,72327973.48694389,0.0002752584193850605
84,-0.08000000000000052,-1.5230952380952387,73189021.14999768,0.00027198153344000026
85,-1.52,-1.5230588235294125,74050068.81700568,0.00026878175069364733
86,0.35999999999999976,-1.501162790697675,74911116.50170028,0.00026565638149953516
87,-2.2000000000000006,-1.509195402298851,75772164.19474818,0.00026260285987310373
88,-0.04000000000000048,-1.4925000000000004,76633211.89807168,0.0002596187364654548
89,-1.36,-1.4910112359550567,77494259.60351548,0.0002567016720107868
90,0.07999999999999952,-1.473555555555556,78355307.31777838,0.0002538494312106669
91,-1.7200000000000002,-1.4762637362637365,79216355.05022928,0.0002510598770215387
92,0.1799999999999996,-1.4582608695652177,80077402.79464409,0.00024833096531478286
93,-1.9800000000000004,-1.4638709677419357,80938450.54462709,0.00024566073988129054
94,0.19999999999999962,-1.4461702127659577,81799498.29824218,0.00024304732775489384
95,0.7,-1.4235789473684215,82660546.05295488,0.00024048893483115814
96,0.13999999999999957,-1.4072916666666673,83521593.81068088,0.00023798384176000023
97,-1.62,-1.4094845360824748,84382641.57150918,0.00023553040009237136
98,-1.28,-1.4081632653061231,85243689.33398809,0.00023312702866285737
99,-1.7600000000000002,-1.4117171717171721,86104737.09980868,0.0002307722101915154
100,-0.04000000000000048,-1.3980000000000004,86965784.86906707,0.00022846448808960023
101,-1.62,-1.4001980198019806,87826832.64104967,0.00022620246345504973
